"filename", "language", "JSON", "Markdown", "JavaScript JSX", "JavaScript", "PostCSS", "HTML", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\controllers\User\userGetAllController.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\controllers\User\userGetByIdController.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\controllers\User\userGetByNameController.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\controllers\User\userLoginController.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\controllers\User\userRegisterController.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\controllers\User\userUpdateController.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\middlewares\auth.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 7, 24
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\Comment\commentCreateRepository.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\Comment\commentDeleteRepository.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\Comment\commentGetByPostRepository.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\GenresText\genreTextGetAllRespository.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\GenresText\genreTextGetRepository.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\Like\likeDeleteRepository.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\Like\likeGetPostsByUserRepository.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\Like\likeGetUsersRepository.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\Like\likePostRepository.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\NetWork\friendProfileRepository.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 36
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\NetWork\friendShipDeleteRepository.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\NetWork\friendShipGetRepository.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\NetWork\friendShipRepository.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\NetWork\friendShipStatusRepository.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\NetWork\pendingFriendshipRepository.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\julio\OneDrive\Área de Trabalho\Project_Letter\Backend\src\repositories\Posts\postDeleteRepository.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
